Unnamed: 0,station,lat,lon,priority,height,map_to_use,buffer,radius,building,road,rest_impervious,rail_road,water,rest_non_impervious,crop_land,gras_shrub,tree,gras_shrub_agriculture,gras_shrub_road,trees_road,gras_shrub_water,trees_water,green,impervious,used_map,no_data,railways,nbu_area-open_space,nbu_area-streets,nbu_area-green_ndvi,nbu_area-street_green_ndvi,bu_area-open_space,bu-area-streets,bu_area-green_ndvi,bu_area-green_ua,bu_area-street_green_ndvi,bu_buildings,LCZ,index
1923.0,vlinder16,51.26685,4.293436,1,-1.0,['BBK1_15_Kbl15.tif'],"POLYGON ((144792.767752608 217443.1214339221, 144792.6992293457 217440.50463611, 144792.4938473764 217437.8950107587, 144792.1521696378 217435.2997106701, 144791.6751326447 217432.7258493812, 144791.0640439225 217430.180481667, 144790.3205784228 217427.6705842034, 144789.4467739329 217425.2030364448, 144788.4450254902 217422.7846017683, 144787.3180788175 217420.4219089351, 144786.0690227973 217418.1214339221, 144784.7012810053 217415.8894821713, 144783.2186023268 217413.7321713075, 144781.6250506809 217411.6554143696, 144779.9249938819 217409.6649036041, 144778.1230916673 217407.7660948628, 144776.224282926 217405.9641926482, 144774.2337721605 217404.2641358493, 144772.1570152226 217402.6705842034, 144769.9997043588 217401.1879055248, 144767.767752608 217399.8201637329, 144765.467277595 217398.5711077127, 144763.1045847618 217397.44416104, 144760.6861500853 217396.4424125972, 144758.2186023268 217395.5686081073, 144755.7087048632 217394.8251426076, 144753.1633371489 217394.2140538854, 144750.58947586 217393.7370168923, 144747.9941757714 217393.3953391537, 144745.3845504202 217393.1899571844, 144742.767752608 217393.1214339221, 144740.1509547959 217393.1899571844, 144737.5413294446 217393.3953391537, 144734.946029356 217393.7370168923, 144732.3721680671 217394.2140538854, 144729.8268003529 217394.8251426076, 144727.3169028893 217395.5686081073, 144724.8493551307 217396.4424125972, 144722.4309204542 217397.44416104, 144720.0682276211 217398.5711077127, 144717.767752608 217399.8201637329, 144715.5358008573 217401.1879055248, 144713.3784899934 217402.6705842034, 144711.3017330555 217404.2641358493, 144709.3112222901 217405.9641926482, 144707.4124135487 217407.7660948628, 144705.6105113341 217409.6649036041, 144703.9104545352 217411.6554143696, 144702.3169028893 217413.7321713075, 144700.8342242108 217415.8894821713, 144699.4664824188 217418.1214339221, 144698.2174263986 217420.4219089351, 144697.0904797259 217422.7846017683, 144696.0887312832 217425.2030364448, 144695.2149267933 217427.6705842034, 144694.4714612936 217430.180481667, 144693.8603725713 217432.7258493812, 144693.3833355783 217435.2997106701, 144693.0416578396 217437.8950107587, 144692.8362758703 217440.50463611, 144692.767752608 217443.1214339221, 144692.8362758703 217445.7382317342, 144693.0416578396 217448.3478570855, 144693.3833355783 217450.9431571741, 144693.8603725713 217453.517018463, 144694.4714612936 217456.0623861772, 144695.2149267933 217458.5722836408, 144696.0887312832 217461.0398313994, 144697.0904797259 217463.4582660759, 144698.2174263986 217465.8209589091, 144699.4664824188 217468.1214339221, 144700.8342242108 217470.3533856728, 144702.3169028893 217472.5106965367, 144703.9104545352 217474.5874534746, 144705.6105113341 217476.57796424, 144707.4124135487 217478.4767729814, 144709.3112222901 217480.278675196, 144711.3017330555 217481.9787319949, 144713.3784899934 217483.5722836408, 144715.5358008573 217485.0549623194, 144717.767752608 217486.4227041113, 144720.0682276211 217487.6717601315, 144722.4309204542 217488.7987068042, 144724.8493551307 217489.8004552469, 144727.3169028893 217490.6742597368, 144729.8268003529 217491.4177252365, 144732.3721680671 217492.0288139588, 144734.946029356 217492.5058509519, 144737.5413294446 217492.8475286905, 144740.1509547959 217493.0529106598, 144742.767752608 217493.1214339221, 144745.3845504202 217493.0529106598, 144747.9941757714 217492.8475286905, 144750.58947586 217492.5058509519, 144753.1633371489 217492.0288139588, 144755.7087048632 217491.4177252365, 144758.2186023268 217490.6742597368, 144760.6861500853 217489.8004552469, 144763.1045847618 217488.7987068042, 144765.467277595 217487.6717601315, 144767.767752608 217486.4227041113, 144769.9997043588 217485.0549623194, 144772.1570152226 217483.5722836408, 144774.2337721605 217481.9787319949, 144776.224282926 217480.278675196, 144778.1230916673 217478.4767729814, 144779.9249938819 217476.57796424, 144781.6250506809 217474.5874534746, 144783.2186023268 217472.5106965367, 144784.7012810053 217470.3533856728, 144786.0690227973 217468.1214339221, 144787.3180788175 217465.8209589091, 144788.4450254902 217463.4582660759, 144789.4467739329 217461.0398313994, 144790.3205784228 217458.5722836408, 144791.0640439225 217456.0623861772, 144791.6751326447 217453.517018463, 144792.1521696378 217450.9431571741, 144792.4938473764 217448.3478570855, 144792.6992293457 217445.7382317342, 144792.767752608 217443.1214339221))",50,0.0,0.0889109648578169,0.466782565503539,0.0,0.4193468272693406,0.0234695144666583,0.0,0.0013659505774245,0.0001241773252204,0.0,0.0,0.0,0.0,0.0,0.0249596423693033,0.5556935303613559,BBK2015,,,,,,,,,,,,,"LCZ-8, large lowrise",
1924.0,vlinder16,51.26685,4.293436,1,-1.0,['BBK1_15_Kbl15.tif'],"POLYGON ((144892.767752608 217443.1214339221, 144892.5621828212 217435.2710404856, 144891.9460369133 217427.4421644319, 144890.9210036973 217419.6562641661, 144889.4898927181 217411.9346802994, 144887.6566265514 217404.2985771567, 144885.4262300523 217396.7688847659, 144882.8048165826 217389.3662414903, 144879.7995712544 217382.1109374607, 144876.4187312363 217375.0228589612, 144872.6715631757 217368.1214339221, 144868.5683377998 217361.4255786698, 144864.1203017643 217354.9536460782, 144859.3396468266 217348.7233752646, 144854.2394764296 217342.7518429683, 144848.833769786 217337.0554167441, 144843.1373435619 217331.6497101005, 144837.1658112655 217326.5495397036, 144830.9355404519 217321.7688847659, 144824.4636078603 217317.3208487303, 144817.767752608 217313.2176233544, 144810.8663275689 217309.4704552938, 144803.7782490694 217306.0896152757, 144796.5229450398 217303.0843699475, 144789.1203017643 217300.4629564778, 144781.5906093734 217298.2325599787, 144773.9545062307 217296.399293812, 144766.2329223641 217294.9681828328, 144758.4470220982 217293.9431496169, 144750.6181460445 217293.3270037089, 144742.767752608 217293.1214339221, 144734.9173591716 217293.3270037089, 144727.0884831179 217293.9431496169, 144719.302582852 217294.9681828328, 144711.5809989854 217296.399293812, 144703.9448958426 217298.2325599787, 144696.4152034518 217300.4629564778, 144689.0125601762 217303.0843699475, 144681.7572561467 217306.0896152757, 144674.6691776471 217309.4704552938, 144667.767752608 217313.2176233544, 144661.0718973558 217317.3208487303, 144654.5999647641 217321.7688847659, 144648.3696939505 217326.5495397036, 144642.3981616542 217331.6497101005, 144636.70173543 217337.0554167441, 144631.2960287864 217342.7518429683, 144626.1958583895 217348.7233752646, 144621.4152034518 217354.9536460782, 144616.9671674162 217361.4255786698, 144612.8639420404 217368.1214339221, 144609.1167739798 217375.0228589612, 144605.7359339616 217382.1109374607, 144602.7306886335 217389.3662414903, 144600.1092751638 217396.7688847659, 144597.8788786647 217404.2985771567, 144596.045612498 217411.9346802994, 144594.6145015188 217419.6562641661, 144593.5894683028 217427.4421644319, 144592.9733223948 217435.2710404856, 144592.767752608 217443.1214339221, 144592.9733223948 217450.9718273585, 144593.5894683028 217458.8007034122, 144594.6145015188 217466.5866036781, 144596.045612498 217474.3081875448, 144597.8788786647 217481.9442906875, 144600.1092751638 217489.4739830783, 144602.7306886335 217496.8766263539, 144605.7359339616 217504.1319303834, 144609.1167739798 217511.220008883, 144612.8639420404 217518.1214339221, 144616.9671674162 217524.8172891743, 144621.4152034518 217531.289221766, 144626.1958583895 217537.5194925796, 144631.2960287864 217543.4910248759, 144636.70173543 217549.1874511001, 144642.3981616542 217554.5931577437, 144648.3696939505 217559.6933281406, 144654.5999647641 217564.4739830783, 144661.0718973558 217568.9220191139, 144667.767752608 217573.0252444897, 144674.6691776471 217576.7724125503, 144681.7572561467 217580.1532525685, 144689.0125601762 217583.1584978967, 144696.4152034518 217585.7799113663, 144703.9448958426 217588.0103078655, 144711.5809989854 217589.8435740322, 144719.302582852 217591.2746850114, 144727.0884831179 217592.2997182273, 144734.9173591716 217592.9158641353, 144742.767752608 217593.1214339221, 144750.6181460445 217592.9158641353, 144758.4470220982 217592.2997182273, 144766.2329223641 217591.2746850114, 144773.9545062307 217589.8435740322, 144781.5906093734 217588.0103078655, 144789.1203017643 217585.7799113663, 144796.5229450398 217583.1584978967, 144803.7782490694 217580.1532525685, 144810.8663275689 217576.7724125503, 144817.767752608 217573.0252444897, 144824.4636078603 217568.9220191139, 144830.9355404519 217564.4739830783, 144837.1658112655 217559.6933281406, 144843.1373435619 217554.5931577437, 144848.833769786 217549.1874511001, 144854.2394764296 217543.4910248759, 144859.3396468266 217537.5194925796, 144864.1203017643 217531.289221766, 144868.5683377998 217524.8172891743, 144872.6715631757 217518.1214339221, 144876.4187312363 217511.220008883, 144879.7995712544 217504.1319303834, 144882.8048165826 217496.8766263539, 144885.4262300523 217489.4739830783, 144887.6566265514 217481.9442906875, 144889.4898927181 217474.3081875448, 144890.9210036973 217466.5866036781, 144891.9460369133 217458.8007034122, 144892.5621828212 217450.9718273585, 144892.767752608 217443.1214339221))",150,0.0,0.1232280701754386,0.2701473684210526,0.0280421052631578,0.4574877192982456,0.0545543859649122,0.0,0.0079157894736842,0.0282947368421052,0.0,0.000238596491228,0.002259649122807,0.024898245614035,0.0029333333333333,0.1210947368421052,0.4214175438596491,BBK2015,,,,,,,,,,,,,"LCZ-8, large lowrise",
1925.0,vlinder16,51.26685,4.293436,1,-1.0,['BBK1_15_Kbl15.tif'],"POLYGON ((144992.767752608 217443.1214339221, 144992.4251362967 217430.0374448613, 144991.3982264501 217416.9893181052, 144989.6898377568 217404.012817662, 144987.3046527915 217391.1435112176, 144984.2492091803 217378.4166726464, 144980.5318816818 217365.8671853284, 144976.1628592323 217353.5294465358, 144971.1541170187 217341.4372731531, 144965.5193836551 217329.6238089872, 144959.2741035541 217318.1214339221, 144952.4353945944 217306.9616751683, 144945.0220012018 217296.175120849, 144937.0542429723 217285.7913361596, 144928.5539589774 217275.8387823324, 144919.5444479047 217266.3447386255, 144910.0504041977 217257.3352275527, 144900.0978503705 217248.8349435579, 144889.7140656812 217240.8671853284, 144878.9275113618 217233.4537919357, 144867.767752608 217226.615082976, 144856.2653775429 217220.369802875, 144844.451913377 217214.7350695114, 144832.3597399943 217209.7263272978, 144820.0220012018 217205.3573048483, 144807.4725138837 217201.6399773498, 144794.7456753125 217198.5845337386, 144781.8763688681 217196.1993487733, 144768.8998684249 217194.49096008, 144755.8517416688 217193.4640502335, 144742.767752608 217193.1214339221, 144729.6837635473 217193.4640502335, 144716.6356367911 217194.49096008, 144703.659136348 217196.1993487733, 144690.7898299036 217198.5845337386, 144678.0629913324 217201.6399773498, 144665.5135040143 217205.3573048483, 144653.1757652217 217209.7263272978, 144641.0835918391 217214.7350695114, 144629.2701276731 217220.369802875, 144617.767752608 217226.615082976, 144606.6079938543 217233.4537919357, 144595.8214395349 217240.8671853284, 144585.4376548456 217248.8349435579, 144575.4851010183 217257.3352275527, 144565.9910573114 217266.3447386255, 144556.9815462387 217275.8387823324, 144548.4812622438 217285.7913361596, 144540.5135040143 217296.175120849, 144533.1001106217 217306.9616751683, 144526.2614016619 217318.1214339221, 144520.0161215609 217329.6238089872, 144514.3813881974 217341.4372731531, 144509.3726459837 217353.5294465358, 144505.0036235342 217365.8671853284, 144501.2862960357 217378.4166726464, 144498.2308524246 217391.1435112176, 144495.8456674592 217404.012817662, 144494.137278766 217416.9893181052, 144493.1103689194 217430.0374448613, 144492.767752608 217443.1214339221, 144493.1103689194 217456.2054229828, 144494.137278766 217469.253549739, 144495.8456674592 217482.2300501821, 144498.2308524246 217495.0993566265, 144501.2862960357 217507.8261951977, 144505.0036235342 217520.3756825158, 144509.3726459837 217532.7134213084, 144514.3813881974 217544.805594691, 144520.0161215609 217556.619058857, 144526.2614016619 217568.1214339221, 144533.1001106217 217579.2811926758, 144540.5135040143 217590.0677469952, 144548.4812622438 217600.4515316845, 144556.9815462387 217610.4040855118, 144565.9910573114 217619.8981292187, 144575.4851010183 217628.9076402914, 144585.4376548456 217637.4079242863, 144595.8214395349 217645.3756825158, 144606.6079938543 217652.7890759085, 144617.767752608 217659.6277848682, 144629.2701276731 217665.8730649692, 144641.0835918391 217671.5077983328, 144653.1757652217 217676.5165405464, 144665.5135040143 217680.8855629959, 144678.0629913324 217684.6028904944, 144690.7898299036 217687.6583341055, 144703.659136348 217690.0435190709, 144716.6356367911 217691.7519077641, 144729.6837635473 217692.7788176107, 144742.767752608 217693.1214339221, 144755.8517416688 217692.7788176107, 144768.8998684249 217691.7519077641, 144781.8763688681 217690.0435190709, 144794.7456753125 217687.6583341055, 144807.4725138837 217684.6028904944, 144820.0220012018 217680.8855629959, 144832.3597399943 217676.5165405464, 144844.451913377 217671.5077983328, 144856.2653775429 217665.8730649692, 144867.767752608 217659.6277848682, 144878.9275113618 217652.7890759085, 144889.7140656812 217645.3756825158, 144900.0978503705 217637.4079242863, 144910.0504041977 217628.9076402914, 144919.5444479047 217619.8981292187, 144928.5539589774 217610.4040855118, 144937.0542429723 217600.4515316845, 144945.0220012018 217590.0677469952, 144952.4353945944 217579.2811926758, 144959.2741035541 217568.1214339221, 144965.5193836551 217556.619058857, 144971.1541170187 217544.805594691, 144976.1628592323 217532.7134213084, 144980.5318816818 217520.3756825158, 144984.2492091803 217507.8261951977, 144987.3046527915 217495.0993566265, 144989.6898377568 217482.2300501821, 144991.3982264501 217469.253549739, 144992.4251362967 217456.2054229828, 144992.767752608 217443.1214339221))",250,0.0,0.0751966987062497,0.2315823092833678,0.0199486961106379,0.4787636371010261,0.0348126292736342,0.0,0.004430790444904,0.0233250192643062,0.1114845682767571,8.618242284138378e-05,0.0008161982398507,0.0158930526828081,0.0036602181936164,0.1945086587987184,0.3267277041002555,BBK2015,,,,,,,,,,,,,"LCZ-8, large lowrise",
